,carat,cut,color,clarity,depth,table,price
1,1.01,4,5,5,0.6273291925465839,56.0,9.183
5,0.53,4,4,4,0.6146435452793835,57.0,7.496
7,0.33,4,5,5,0.5984598459845986,56.0,6.877
8,0.32,2,5,3,0.6285714285714286,56.0,6.554
9,0.27,4,5,5,0.6183574879227053,57.0,6.683
10,0.63,4,6,2,0.6108108108108109,56.0,7.484
11,0.31,4,3,3,0.6130884041331802,56.0,6.353
12,0.53,4,4,4,0.6202898550724637,55.0,7.554
13,0.7,2,2,4,0.6215978928884986,57.0,7.671
16,0.71,4,6,2,0.6207497820401047,55.0,8.087
17,0.32,4,3,2,0.6234357224118318,57.0,6.23
18,0.52,4,3,4,0.6153846153846155,56.0,7.451
21,0.58,4,1,6,0.6233766233766233,53.0,7.365
23,0.3,4,3,7,0.619815668202765,55.0,6.76
24,1.0,0,4,4,0.6528332003192338,56.0,8.671
25,0.51,4,4,6,0.6143410852713178,56.0,7.911
27,0.41,4,3,7,0.6232948583420777,55.0,7.266
28,0.42,4,5,4,0.6161825726141079,57.0,7.074
32,0.31,3,3,2,0.624277456647399,55.0,6.385
33,0.56,4,6,3,0.6145146088595664,57.0,7.633
34,0.32,4,2,1,0.6193693693693695,54.0,6.04
35,0.72,4,0,2,0.6165803108808291,56.0,7.525
36,1.08,2,2,2,0.6344827586206896,57.0,8.573
37,0.31,1,6,2,0.6310904872389791,57.0,6.347
38,0.33,4,3,7,0.6186726659167604,55.0,6.852
39,0.7,4,5,1,0.6200873362445415,56.0,7.631
40,2.53,3,2,1,0.6109215017064847,57.0,9.626
41,1.0,1,2,2,0.648605577689243,56.0,8.361
42,0.37,4,6,3,0.6125541125541126,56.0,7.025
43,0.3,4,5,6,0.6137931034482759,56.0,6.797
45,0.32,4,1,3,0.6300114547537228,55.0,6.356
47,0.34,4,3,4,0.605060506050605,57.0,6.579
48,1.22,4,2,2,0.6194302410518626,55.0,8.971
49,0.7,2,6,4,0.6124234470691163,56.0,8.179
54,0.54,4,5,2,0.6152380952380953,55.0,7.483
55,1.0,4,1,1,0.6252945797329144,56.0,8.094
57,1.0,2,4,1,0.6340694006309148,55.0,8.302
58,0.38,4,5,7,0.627155172413793,55.0,7.268
