,carat,cut,color,clarity,depth,table,price
0,-0.6249999999999999,3,6,1,0.37916794592301334,0.3333333333333333,6.353
1,0.48437500000000006,4,5,5,0.6048812074460367,-0.3333333333333333,9.183
2,0.03125000000000003,4,4,3,-0.0011378349888056262,0.6666666666666666,7.983
3,0.5937500000000002,2,3,1,0.9131736586219232,0.0,8.371
4,-0.5312499999999999,3,3,4,0.32678495151100223,0.6666666666666666,6.588
5,-0.2656249999999999,4,4,4,-0.25039768969864046,0.0,7.496
6,1.625,3,2,2,0.20579810512423838,0.6666666666666666,8.979
7,-0.5781249999999999,4,5,5,-1.341518717504057,-0.3333333333333333,6.877
8,-0.5937499999999999,2,5,3,0.6886339900154811,-0.3333333333333333,6.554
9,-0.6718749999999999,4,5,5,0.0,0.0,6.683
10,-0.10937499999999992,4,6,2,-0.5088044418558415,-0.3333333333333333,7.484
11,-0.6093749999999999,4,3,3,-0.3552468453162677,-0.3333333333333333,6.353
12,-0.2656249999999999,4,4,4,0.13028210621914244,-0.6666666666666666,7.554
13,0.0,2,2,4,0.21847131069233214,0.0,7.671
14,0.06250000000000006,2,2,2,0.39641198840874087,0.3333333333333333,7.794
15,0.9218750000000001,2,1,3,0.6551813590615433,0.3333333333333333,8.727
16,0.015625000000000014,4,6,2,0.16129083769066413,-0.6666666666666666,8.087
17,-0.5937499999999999,4,3,2,0.34237959654861694,0.0,6.23
18,-0.2812499999999999,4,3,4,-0.2004340095679034,-0.3333333333333333,7.451
19,-0.43749999999999994,3,3,6,-1.7320090597667372,0.6666666666666666,7.072
20,0.5625000000000001,3,5,1,-0.12089060469721111,1.6666666666666667,8.445
21,-0.1875,4,1,6,0.3383950810886815,-1.3333333333333333,7.365
22,1.25,0,1,2,-3.444835015337226,2.0,8.976
23,-0.6249999999999999,4,3,7,0.09831195803403656,-0.6666666666666666,6.76
24,0.46875000000000006,0,4,4,2.3243866596400466,-0.3333333333333333,8.671
25,-0.2968749999999999,4,4,6,-0.27078984286828,-0.3333333333333333,7.911
